,TOTAL MX
2058,1137.64
2060,0.0
2061,0.0
2062,2320.0
2063,5000.0
2066,200.0
2067,177.75
2068,284.32
2070,0.0
2071,216.0
2072,0.0
2073,3234.08
2074,0.0
2075,0.0
2076,300.01
2077,123.0
2078,0.0
2079,4063.77
2080,0.0
2081,1929.02
2083,0.0
2084,24.42
2085,1044.0
2086,123.17
2087,408.32
2088,0.0
2089,4154.110000000001
2090,925.19
2092,1856.0
2093,829.4
2094,450.0
2095,300.0
2096,716.88
2097,28.63
2098,5112.76
2100,4063.77
2101,6500.18
2102,0.0
2103,6846.09
2104,7692.0
2106,150.0
2107,1900.0
2108,0.0
2109,2060.35
2110,124.82
2113,0.0
2114,0.0
2116,0.0
2117,257.82
2118,398.99
2119,0.0
2120,0.0
2121,0.0
2122,144.0
2124,2053.2
2125,700.0
2126,275.28
2128,0.0
2129,0.0
2130,2822.43
2131,0.0
2132,2786.32
2133,0.0
2135,300.0
2136,73.36
2137,2030.0
2138,50.0
2139,1397.75
2140,0.0
2141,5730.4
2142,5730.4
2143,807.94
2144,542.65
2145,42.870000000000005
2146,2433.78
2147,3770.0
2148,150.0
2149,7149.68
2150,178.0
2152,696.0
2153,160.51999999999998
2154,0.0
2155,1464.54
2156,836.12
2157,5307.06
2160,931.48
2162,0.0
2163,0.0
2164,1773.46
2165,2900.0
2166,366.5
2167,3609.92
2169,348.0
2170,500.0
2171,387.09999999999997
2172,161.6
2173,1418.15
2174,303.92
2175,4751.01
2176,131.1
2177,267.96
2178,144.0
2180,5800.0
2181,0.0
2182,4613.24
2183,2814.83
2184,778.13
2185,2928.66
2186,0.0
2187,3771.45
2188,0.0
2189,2850.0
2191,2296.8
2192,0.0
